category,total_orders,late_orders,avg_delivery_days,on_time_rate
bed_bath_table,10953,920,12.8,91.6
health_beauty,9465,857,12.0,90.9
sports_leisure,8430,625,12.1,92.6
furniture_decor,8160,688,12.9,91.6
computers_accessories,7643,594,13.2,92.2
housewares,6795,441,10.9,93.5
watches_gifts,5857,485,12.7,91.7
telephony,4430,369,12.9,91.7
garden_tools,4268,340,13.7,92.0
auto,4139,343,12.2,91.7
toys,4029,299,11.7,92.6
cool_stuff,3718,251,12.4,93.2
perfumery,3340,245,11.8,92.7
baby,2982,262,12.5,91.2
electronics,2729,266,12.9,90.3
